user_id,age_group,study_level,study_mode,persona,favorite_categories,preferred_formats,preferred_moods,session_pattern,activity_level,time_availability,budget_sensitivity,campus_affinity,preferred_days,device_preference,home_region,discovery_style,avg_session_minutes,onboarding_interest_score
U0001,21-23,Postgraduate Taught,Full-time,Pop Culture Browser,Events|Music,Video|Playlist,Relaxed|Curious,Morning,High,Tight Schedule,Low,Mixed,Mixed,Laptop,Watford,Trendy,36,0.7
U0002,24-26,Undergraduate,Full-time,Career Builder,Tech|Finance|Career,Long Video|Article,Focused|Curious,Afternoon,Medium,Balanced,Low,Mixed,Mixed,Mobile,Remote/Online,Balanced,38,0.93
U0003,18-20,Undergraduate,Full-time,Career Builder,Finance|Tech|Study|Career,Guide|Podcast,Focused|Curious,Morning,Medium,Balanced,Low,Campus-Centered,Weekend,Mobile,Hatfield,Balanced,28,0.69
U0004,21-23,Undergraduate,Full-time,Minimalist Achiever,Productivity|Career|Study|Wellness,Short Video|Guide,Focused|Calm,Afternoon,High,Flexible,High,Mixed,Weekend,Mobile,Remote/Online,Familiar,48,0.83
U0005,21-23,Postgraduate Taught,Full-time,Wellness Seeker,Food|Fitness|Study|Lifestyle,Short Video|Article|Guide,Motivated|Relaxed,Morning,High,Balanced,Medium,Off-Campus,Weekday,Mobile,Watford,Familiar,25,0.8
U0006,18-20,Postgraduate Taught,Part-time,Campus Connector,Study|Lifestyle,Guide|Article,Motivated|Curious,Evening,Medium,Balanced,Medium,Mixed,Weekday,Laptop,Hatfield,Exploratory,25,0.65
U0007,21-23,Undergraduate,Full-time,Career Builder,Career|Finance|Study,Guide|Podcast,Curious|Motivated,Afternoon,Medium,Balanced,Low,Mixed,Weekday,Mobile,Remote/Online,Balanced,33,0.45
U0008,24-26,Postgraduate Taught,Full-time,Campus Connector,Events|Study,Carousel|Short Video,Social|Curious,Evening,Low,Tight Schedule,Medium,Off-Campus,Weekend,Mobile,London,Exploratory,12,0.64
U0009,21-23,Postgraduate Taught,Full-time,Pop Culture Browser,Events|Lifestyle,Carousel|Playlist|Video,Relaxed|Curious,Morning,Medium,Tight Schedule,Low,Mixed,Weekday,Laptop,Remote/Online,Trendy,19,0.76
U0010,21-23,Postgraduate Taught,Full-time,Focused Planner,Career|Finance,Guide|Podcast,Focused|Motivated,Late Night,Medium,Tight Schedule,Medium,Mixed,Weekend,Mobile,Watford,Balanced,21,0.52
U0011,21-23,Undergraduate,Full-time,Pop Culture Browser,Entertainment|Food|Music|Events,Video|Short Video,Relaxed|Excited,Morning,Medium,Balanced,Low,Off-Campus,Weekday,Laptop,London,Trendy,47,0.69
U0012,18-20,Undergraduate,Full-time,Focused Planner,Study|Wellness,Checklist|Guide|Article,Calm|Motivated,Late Night,High,Balanced,Medium,Off-Campus,Mixed,Mobile,Watford,Balanced,31,0.52
U0013,27-30,Postgraduate Taught,Full-time,Budget Explorer,Travel|Food|Lifestyle,Guide|Short Video,Relaxed|Curious,Early Morning,Medium,Flexible,High,Campus-Centered,Weekday,Laptop,St Albans,Trendy,25,0.74
U0014,18-20,Undergraduate,Full-time,Minimalist Achiever,Career|Productivity|Study|Finance,Article|Guide|Checklist,Motivated|Calm,Evening,Medium,Flexible,High,Off-Campus,Weekday,Laptop,London,Familiar,18,0.77
U0015,21-23,Undergraduate,Part-time,Focused Planner,Study|Career|Productivity|Wellness,Guide|Checklist,Motivated|Focused,Afternoon,Medium,Balanced,Medium,Mixed,Mixed,Mobile,Remote/Online,Balanced,24,0.68
U0016,21-23,Undergraduate,Full-time,Budget Explorer,Events|Travel,Guide|Carousel|Short Video,Curious|Relaxed,Evening,Medium,Balanced,High,Off-Campus,Weekday,Mobile,Hatfield,Trendy,24,0.98
U0017,18-20,Undergraduate,Full-time,Minimalist Achiever,Finance|Wellness,Checklist|Short Video,Calm|Focused,Late Night,High,Balanced,High,Campus-Centered,Weekend,Tablet,Remote/Online,Familiar,30,0.57
U0018,21-23,Undergraduate,Part-time,Focused Planner,Study|Wellness|Career,Podcast|Checklist,Focused|Motivated,Late Night,Medium,Flexible,Medium,Campus-Centered,Mixed,Mobile,Remote/Online,Balanced,40,0.55
U0019,21-23,Postgraduate Taught,Part-time,Campus Connector,Study|Food|Events|Lifestyle,Carousel|Article|Guide,Curious|Motivated,Morning,High,Balanced,Medium,Mixed,Weekday,Mobile,Luton,Exploratory,33,0.45
U0020,21-23,Postgraduate Taught,Full-time,Weekend Adventurer,Entertainment|Food|Travel|Lifestyle,Video|Guide|Carousel,Energetic|Excited,Early Morning,Medium,Balanced,Medium,Mixed,Weekday,Laptop,Hatfield,Exploratory,16,0.75
U0021,21-23,Undergraduate,Full-time,Minimalist Achiever,Career|Study|Wellness|Productivity,Article|Short Video|Checklist,Motivated|Focused,Evening,Medium,Tight Schedule,High,Mixed,Weekend,Laptop,Hatfield,Familiar,39,0.74
U0022,18-20,Undergraduate,Part-time,Wellness Seeker,Study|Wellness|Fitness,Guide|Short Video|Podcast,Motivated|Calm,Afternoon,Medium,Balanced,Medium,Campus-Centered,Mixed,Laptop,Hatfield,Familiar,29,0.68
U0023,21-23,Postgraduate Taught,Full-time,Minimalist Achiever,Study|Career,Guide|Checklist,Calm|Focused,Early Morning,High,Balanced,High,Mixed,Weekend,Mobile,Watford,Familiar,14,0.62
U0024,18-20,Undergraduate,Full-time,Minimalist Achiever,Finance|Career,Short Video|Checklist,Calm|Motivated,Evening,High,Flexible,High,Off-Campus,Mixed,Laptop,London,Familiar,25,0.87
U0025,21-23,Undergraduate,Full-time,Campus Connector,Lifestyle|Study|Food|Career,Short Video|Carousel|Article,Social|Curious,Evening,Medium,Tight Schedule,Medium,Campus-Centered,Weekend,Mobile,Hatfield,Exploratory,34,0.47
U0026,27-30,Postgraduate Taught,Full-time,Pop Culture Browser,Music|Entertainment|Food|Events,Carousel|Video|Short Video,Curious|Excited,Morning,Medium,Balanced,Low,Off-Campus,Weekday,Mobile,Remote/Online,Trendy,34,0.67
U0027,24-26,Postgraduate Taught,Part-time,Campus Connector,Career|Study|Lifestyle|Events,Guide|Article|Carousel,Curious|Motivated,Afternoon,High,Flexible,Medium,Mixed,Mixed,Mobile,St Albans,Exploratory,23,0.81
U0028,21-23,Postgraduate Taught,Part-time,Campus Connector,Events|Food,Short Video|Carousel|Article,Social|Curious,Afternoon,High,Balanced,Medium,Mixed,Weekday,Tablet,Hatfield,Exploratory,42,0.85
U0029,21-23,Undergraduate,Full-time,Focused Planner,Productivity|Wellness|Finance|Career,Guide|Article,Calm|Focused,Morning,High,Balanced,Medium,Off-Campus,Mixed,Laptop,Hatfield,Balanced,21,0.68
U0030,24-26,Postgraduate Taught,Full-time,Weekend Adventurer,Travel|Food|Entertainment|Events,Video|Short Video|Guide,Energetic|Excited,Morning,High,Tight Schedule,Medium,Mixed,Weekend,Mobile,St Albans,Exploratory,34,0.86
U0031,18-20,Postgraduate Taught,Full-time,Campus Connector,Events|Lifestyle|Study,Article|Guide|Carousel,Social|Motivated,Evening,High,Balanced,Medium,Mixed,Weekday,Laptop,Luton,Exploratory,25,0.69
U0032,18-20,Postgraduate Taught,Full-time,Focused Planner,Study|Finance|Career,Podcast|Article|Guide,Motivated|Calm,Late Night,Medium,Balanced,Medium,Mixed,Weekday,Mobile,St Albans,Balanced,18,0.55
U0033,21-23,Postgraduate Taught,Full-time,Wellness Seeker,Lifestyle|Study,Article|Short Video|Guide,Motivated|Relaxed,Morning,High,Balanced,Medium,Mixed,Weekday,Laptop,Hatfield,Familiar,39,0.91
U0034,24-26,Postgraduate Research,Full-time,Budget Explorer,Travel|Lifestyle,Article|Short Video,Energetic|Curious,Morning,Medium,Flexible,High,Campus-Centered,Weekend,Mobile,Watford,Trendy,30,0.86
U0035,21-23,Undergraduate,Full-time,Focused Planner,Productivity|Career,Checklist|Article,Focused|Calm,Late Night,Medium,Flexible,Medium,Mixed,Mixed,Mobile,Hatfield,Balanced,34,0.63
U0036,21-23,Postgraduate Taught,Full-time,Pop Culture Browser,Music|Food,Short Video|Carousel|Playlist,Excited|Curious,Evening,Medium,Flexible,Low,Campus-Centered,Mixed,Mobile,London,Trendy,34,0.94
U0037,18-20,Undergraduate,Full-time,Focused Planner,Productivity|Study|Career|Wellness,Article|Checklist|Podcast,Calm|Focused,Morning,Low,Tight Schedule,Medium,Mixed,Mixed,Mobile,Watford,Balanced,30,0.94
U0038,18-20,Undergraduate,Full-time,Minimalist Achiever,Wellness|Career|Finance|Productivity,Guide|Short Video,Calm|Motivated,Late Night,Low,Balanced,High,Mixed,Weekday,Mobile,Hatfield,Familiar,8,0.84
U0039,24-26,Postgraduate Taught,Full-time,Wellness Seeker,Wellness|Study|Fitness,Podcast|Article|Short Video,Motivated|Relaxed,Morning,High,Balanced,Medium,Mixed,Weekday,Mobile,St Albans,Familiar,31,0.68
U0040,21-23,Postgraduate Taught,Full-time,Weekend Adventurer,Entertainment|Lifestyle|Travel|Events,Carousel|Video|Guide,Curious|Excited,Evening,High,Balanced,Medium,Campus-Centered,Weekday,Tablet,St Albans,Exploratory,32,0.44
U0041,21-23,Undergraduate,Full-time,Wellness Seeker,Study|Lifestyle,Article|Short Video|Guide,Calm|Relaxed,Evening,Medium,Balanced,Medium,Mixed,Weekday,Tablet,London,Familiar,28,0.77
U0042,24-26,Undergraduate,Full-time,Budget Explorer,Lifestyle|Food,Short Video|Carousel|Guide,Relaxed|Energetic,Afternoon,Low,Balanced,High,Mixed,Weekend,Mobile,Hatfield,Trendy,47,0.65
U0043,21-23,Postgraduate Taught,Part-time,Budget Explorer,Events|Travel|Food|Deals,Guide|Carousel|Article,Energetic|Curious,Late Night,Medium,Balanced,High,Mixed,Weekday,Laptop,St Albans,Trendy,22,0.65
U0044,27-30,Undergraduate,Part-time,Minimalist Achiever,Career|Finance,Short Video|Checklist,Calm|Focused,Afternoon,Medium,Balanced,High,Campus-Centered,Weekend,Laptop,Remote/Online,Familiar,41,0.77
U0045,24-26,Undergraduate,Full-time,Campus Connector,Events|Lifestyle|Career,Guide|Short Video,Social|Curious,Late Night,Low,Flexible,Medium,Off-Campus,Mixed,Mobile,Hatfield,Exploratory,25,0.79
U0046,18-20,Undergraduate,Part-time,Pop Culture Browser,Food|Entertainment|Events,Video|Playlist,Curious|Relaxed,Evening,Medium,Balanced,Low,Mixed,Mixed,Mobile,Luton,Trendy,32,0.86
U0047,21-23,Undergraduate,Part-time,Weekend Adventurer,Entertainment|Events|Travel,Video|Short Video|Guide,Excited|Energetic,Early Morning,High,Balanced,Medium,Campus-Centered,Weekday,Mobile,Luton,Exploratory,23,0.67
U0048,21-23,Postgraduate Research,Part-time,Minimalist Achiever,Wellness|Career|Productivity|Finance,Article|Short Video|Guide,Focused|Calm,Evening,Medium,Balanced,High,Campus-Centered,Weekday,Laptop,Hatfield,Familiar,26,0.52
U0049,24-26,Undergraduate,Full-time,Campus Connector,Food|Events|Career,Guide|Article,Social|Curious,Evening,Medium,Balanced,Medium,Off-Campus,Mixed,Mobile,St Albans,Exploratory,34,0.76
U0050,21-23,Undergraduate,Full-time,Wellness Seeker,Fitness|Wellness|Study|Food,Guide|Article|Podcast,Calm|Relaxed,Evening,High,Flexible,Medium,Off-Campus,Mixed,Mobile,Remote/Online,Familiar,31,0.69
U0051,21-23,Postgraduate Taught,Full-time,Campus Connector,Events|Study|Career,Short Video|Carousel|Article,Motivated|Social,Early Morning,Medium,Flexible,Medium,Off-Campus,Weekday,Mobile,Hatfield,Exploratory,15,0.66
U0052,18-20,Postgraduate Research,Full-time,Minimalist Achiever,Study|Career|Wellness|Productivity,Article|Short Video|Guide,Focused|Calm,Morning,Low,Balanced,High,Campus-Centered,Mixed,Laptop,London,Familiar,27,0.61
U0053,21-23,Undergraduate,Full-time,Wellness Seeker,Fitness|Lifestyle|Food|Wellness,Short Video|Guide|Article,Motivated|Relaxed,Evening,Medium,Balanced,Medium,Off-Campus,Weekend,Mobile,Hatfield,Familiar,29,0.78
U0054,21-23,Undergraduate,Full-time,Focused Planner,Productivity|Study|Career,Article|Guide,Focused|Motivated,Morning,Low,Balanced,Medium,Campus-Centered,Mixed,Laptop,London,Balanced,51,0.74
U0055,21-23,Postgraduate Taught,Full-time,Weekend Adventurer,Events|Food,Short Video|Guide,Excited|Energetic,Late Night,Low,Tight Schedule,Medium,Campus-Centered,Weekend,Mobile,Hatfield,Exploratory,33,0.71
U0056,21-23,Undergraduate,Part-time,Career Builder,Tech|Career|Productivity,Guide|Podcast,Motivated|Focused,Evening,High,Flexible,Low,Mixed,Weekday,Laptop,St Albans,Balanced,9,0.72
U0057,21-23,Postgraduate Research,Full-time,Minimalist Achiever,Wellness|Career|Productivity,Article|Short Video,Motivated|Calm,Evening,Medium,Tight Schedule,High,Mixed,Mixed,Laptop,Luton,Familiar,31,0.98
U0058,24-26,Undergraduate,Full-time,Pop Culture Browser,Lifestyle|Food,Carousel|Video,Excited|Curious,Late Night,Medium,Flexible,Low,Mixed,Weekend,Mobile,Hatfield,Trendy,28,0.76
U0059,21-23,Postgraduate Research,Full-time,Career Builder,Finance|Productivity|Tech|Career,Guide|Article|Podcast,Focused|Curious,Late Night,High,Tight Schedule,Low,Mixed,Weekday,Laptop,Hatfield,Balanced,30,0.56
U0060,24-26,Postgraduate Research,Full-time,Focused Planner,Career|Productivity|Study|Finance,Article|Podcast|Guide,Focused|Motivated,Early Morning,Medium,Balanced,Medium,Mixed,Weekday,Laptop,Hatfield,Balanced,43,0.83
U0061,27-30,Postgraduate Taught,Part-time,Pop Culture Browser,Lifestyle|Food,Playlist|Short Video|Video,Relaxed|Curious,Afternoon,Medium,Balanced,Low,Campus-Centered,Weekday,Mobile,St Albans,Trendy,39,0.59
U0062,21-23,Postgraduate Taught,Full-time,Wellness Seeker,Food|Fitness|Study,Podcast|Guide,Calm|Relaxed,Morning,High,Flexible,Medium,Campus-Centered,Weekday,Tablet,Luton,Familiar,46,0.52
U0063,21-23,Postgraduate Taught,Full-time,Campus Connector,Food|Events|Lifestyle,Guide|Carousel|Short Video,Curious|Social,Afternoon,High,Flexible,Medium,Campus-Centered,Weekday,Laptop,Remote/Online,Exploratory,37,0.98
U0064,24-26,Postgraduate Research,Full-time,Wellness Seeker,Lifestyle|Study|Fitness|Wellness,Article|Guide|Short Video,Calm|Motivated,Late Night,Medium,Balanced,Medium,Mixed,Weekday,Laptop,Watford,Familiar,20,0.64
U0065,24-26,Undergraduate,Full-time,Budget Explorer,Food|Events,Guide|Article,Curious|Relaxed,Evening,High,Balanced,High,Mixed,Mixed,Mobile,Luton,Trendy,32,0.65
U0066,24-26,Postgraduate Taught,Full-time,Career Builder,Tech|Study|Finance|Productivity,Article|Long Video|Guide,Motivated|Focused,Afternoon,Medium,Balanced,Low,Campus-Centered,Weekend,Mobile,London,Balanced,13,0.73
U0067,18-20,Undergraduate,Full-time,Minimalist Achiever,Wellness|Finance,Checklist|Guide|Short Video,Motivated|Focused,Afternoon,Medium,Balanced,High,Campus-Centered,Weekday,Mobile,St Albans,Familiar,19,0.79
U0068,21-23,Undergraduate,Full-time,Wellness Seeker,Food|Study,Short Video|Guide|Podcast,Motivated|Relaxed,Evening,Low,Tight Schedule,Medium,Mixed,Mixed,Laptop,Remote/Online,Familiar,20,0.94
U0069,21-23,Undergraduate,Full-time,Weekend Adventurer,Events|Food|Lifestyle|Entertainment,Short Video|Video,Energetic|Excited,Evening,Medium,Balanced,Medium,Mixed,Weekend,Mobile,Hatfield,Exploratory,22,0.67
U0070,24-26,Postgraduate Taught,Part-time,Budget Explorer,Travel|Events|Food,Short Video|Article,Curious|Energetic,Late Night,Low,Flexible,High,Mixed,Mixed,Mobile,Hatfield,Trendy,39,0.55
U0071,18-20,Undergraduate,Part-time,Pop Culture Browser,Music|Lifestyle|Entertainment|Food,Video|Carousel|Playlist,Excited|Relaxed,Evening,High,Balanced,Low,Off-Campus,Mixed,Mobile,Hatfield,Trendy,33,0.9
U0072,18-20,Postgraduate Taught,Part-time,Career Builder,Study|Productivity|Career|Finance,Guide|Podcast|Article,Focused|Motivated,Late Night,Medium,Balanced,Low,Campus-Centered,Mixed,Mobile,St Albans,Balanced,13,0.75
U0073,21-23,Undergraduate,Full-time,Minimalist Achiever,Finance|Study,Short Video|Checklist,Motivated|Focused,Afternoon,Medium,Flexible,High,Mixed,Mixed,Mobile,Hatfield,Familiar,33,0.83
U0074,27-30,Postgraduate Taught,Full-time,Campus Connector,Study|Lifestyle|Career|Events,Carousel|Article,Social|Curious,Morning,Low,Tight Schedule,Medium,Campus-Centered,Weekend,Laptop,St Albans,Exploratory,17,0.54
U0075,18-20,Undergraduate,Full-time,Focused Planner,Wellness|Productivity|Career,Guide|Checklist,Focused|Calm,Afternoon,Medium,Tight Schedule,Medium,Mixed,Weekend,Tablet,London,Balanced,36,0.76
U0076,21-23,Postgraduate Taught,Full-time,Career Builder,Career|Study|Productivity,Guide|Article|Long Video,Focused|Motivated,Afternoon,High,Tight Schedule,Low,Mixed,Mixed,Mobile,Luton,Balanced,33,0.77
U0077,18-20,Postgraduate Research,Full-time,Career Builder,Study|Productivity|Career|Finance,Guide|Article|Long Video,Curious|Focused,Early Morning,Medium,Tight Schedule,Low,Mixed,Weekday,Mobile,Luton,Balanced,23,0.75
U0078,27-30,Undergraduate,Full-time,Campus Connector,Food|Events|Study,Guide|Short Video|Article,Motivated|Social,Late Night,Medium,Balanced,Medium,Mixed,Weekday,Laptop,Luton,Exploratory,34,0.62
U0079,21-23,Postgraduate Taught,Part-time,Wellness Seeker,Wellness|Study|Fitness,Podcast|Guide|Short Video,Motivated|Relaxed,Morning,Medium,Tight Schedule,Medium,Off-Campus,Mixed,Mobile,London,Familiar,51,0.79
U0080,21-23,Postgraduate Research,Full-time,Weekend Adventurer,Events|Travel|Entertainment|Lifestyle,Video|Short Video,Excited|Curious,Morning,Medium,Flexible,Medium,Campus-Centered,Mixed,Mobile,London,Exploratory,17,0.81
U0081,18-20,Undergraduate,Full-time,Career Builder,Finance|Productivity|Career|Tech,Long Video|Podcast,Curious|Focused,Afternoon,Medium,Balanced,Low,Off-Campus,Weekday,Mobile,Hatfield,Balanced,20,0.83
U0082,24-26,Postgraduate Research,Full-time,Budget Explorer,Deals|Food|Lifestyle|Travel,Short Video|Guide|Article,Energetic|Curious,Late Night,High,Tight Schedule,High,Campus-Centered,Weekday,Laptop,Hatfield,Trendy,43,0.61
U0083,21-23,Undergraduate,Full-time,Wellness Seeker,Lifestyle|Fitness|Food,Article|Guide,Motivated|Calm,Afternoon,High,Tight Schedule,Medium,Campus-Centered,Weekday,Mobile,London,Familiar,41,0.78
U0084,21-23,Postgraduate Taught,Full-time,Focused Planner,Wellness|Study|Productivity|Finance,Article|Podcast,Motivated|Calm,Morning,Low,Flexible,Medium,Campus-Centered,Mixed,Mobile,Hatfield,Balanced,40,0.98
U0085,18-20,Postgraduate Research,Full-time,Weekend Adventurer,Travel|Events|Food|Lifestyle,Guide|Carousel,Curious|Excited,Early Morning,High,Balanced,Medium,Mixed,Mixed,Mobile,London,Exploratory,28,0.61
U0086,21-23,Undergraduate,Full-time,Weekend Adventurer,Entertainment|Events|Food,Guide|Video|Short Video,Excited|Curious,Evening,Low,Flexible,Medium,Campus-Centered,Mixed,Mobile,St Albans,Exploratory,21,0.61
U0087,21-23,Undergraduate,Full-time,Campus Connector,Career|Events|Study|Lifestyle,Carousel|Article|Short Video,Curious|Motivated,Morning,Low,Balanced,Medium,Off-Campus,Mixed,Mobile,Hatfield,Exploratory,30,0.77
U0088,18-20,Undergraduate,Full-time,Minimalist Achiever,Finance|Study|Career,Checklist|Guide,Motivated|Calm,Evening,High,Tight Schedule,High,Campus-Centered,Weekday,Mobile,Hatfield,Familiar,34,0.84
U0089,21-23,Postgraduate Taught,Full-time,Weekend Adventurer,Food|Travel|Events,Video|Carousel,Energetic|Excited,Evening,Low,Tight Schedule,Medium,Campus-Centered,Weekend,Tablet,London,Exploratory,31,0.92
U0090,21-23,Undergraduate,Full-time,Weekend Adventurer,Events|Entertainment,Short Video|Carousel,Energetic|Excited,Morning,Medium,Tight Schedule,Medium,Mixed,Weekday,Tablet,Watford,Exploratory,28,0.98
U0091,21-23,Undergraduate,Part-time,Weekend Adventurer,Lifestyle|Entertainment|Food,Carousel|Short Video|Video,Energetic|Excited,Afternoon,Low,Balanced,Medium,Campus-Centered,Mixed,Tablet,London,Exploratory,37,0.6
U0092,21-23,Postgraduate Taught,Full-time,Budget Explorer,Events|Deals,Carousel|Short Video,Energetic|Relaxed,Late Night,Medium,Balanced,High,Mixed,Weekday,Mobile,London,Trendy,19,0.79
U0093,27-30,Undergraduate,Full-time,Career Builder,Career|Productivity|Finance|Tech,Long Video|Podcast|Article,Curious|Focused,Afternoon,Low,Balanced,Low,Campus-Centered,Weekday,Mobile,Hatfield,Balanced,28,0.82
U0094,24-26,Undergraduate,Full-time,Minimalist Achiever,Study|Career|Wellness,Article|Guide|Short Video,Calm|Motivated,Evening,High,Flexible,High,Mixed,Weekend,Laptop,Hatfield,Familiar,36,0.71
U0095,18-20,Postgraduate Taught,Full-time,Focused Planner,Productivity|Career|Study|Finance,Guide|Article|Checklist,Focused|Motivated,Late Night,High,Balanced,Medium,Mixed,Mixed,Mobile,St Albans,Balanced,21,0.51
U0096,21-23,Undergraduate,Part-time,Pop Culture Browser,Music|Entertainment,Carousel|Playlist,Excited|Curious,Late Night,High,Balanced,Low,Off-Campus,Weekday,Mobile,London,Trendy,26,0.84
U0097,24-26,Postgraduate Taught,Full-time,Pop Culture Browser,Music|Lifestyle,Short Video|Video,Relaxed|Curious,Evening,Medium,Tight Schedule,Low,Mixed,Mixed,Mobile,St Albans,Trendy,33,0.55
U0098,18-20,Undergraduate,Full-time,Pop Culture Browser,Lifestyle|Music|Events|Food,Video|Short Video|Carousel,Excited|Relaxed,Morning,Medium,Tight Schedule,Low,Off-Campus,Mixed,Laptop,London,Trendy,32,0.77
U0099,18-20,Undergraduate,Full-time,Focused Planner,Productivity|Study|Wellness|Finance,Guide|Article|Checklist,Motivated|Focused,Afternoon,Medium,Tight Schedule,Medium,Campus-Centered,Weekday,Laptop,St Albans,Balanced,21,0.74
U0100,18-20,Postgraduate Taught,Full-time,Budget Explorer,Events|Lifestyle|Deals|Food,Guide|Carousel|Short Video,Energetic|Relaxed,Morning,Low,Balanced,High,Mixed,Mixed,Laptop,Watford,Trendy,31,0.56
U0101,21-23,Postgraduate Taught,Full-time,Wellness Seeker,Study|Lifestyle,Article|Podcast|Short Video,Relaxed|Motivated,Early Morning,Medium,Tight Schedule,Medium,Campus-Centered,Mixed,Mobile,London,Familiar,34,0.8
U0102,21-23,Postgraduate Taught,Full-time,Campus Connector,Study|Lifestyle|Career,Guide|Short Video,Motivated|Curious,Late Night,High,Tight Schedule,Medium,Campus-Centered,Weekday,Tablet,Remote/Online,Exploratory,42,0.87
U0103,21-23,Postgraduate Research,Full-time,Focused Planner,Productivity|Career|Study,Guide|Podcast,Calm|Motivated,Late Night,Medium,Tight Schedule,Medium,Off-Campus,Mixed,Mobile,Remote/Online,Balanced,15,0.59
U0104,21-23,Undergraduate,Full-time,Focused Planner,Finance|Study|Career|Productivity,Article|Guide,Calm|Motivated,Afternoon,High,Tight Schedule,Medium,Campus-Centered,Mixed,Laptop,Hatfield,Balanced,36,0.79
U0105,18-20,Postgraduate Taught,Full-time,Pop Culture Browser,Entertainment|Music|Food|Events,Short Video|Video,Relaxed|Curious,Evening,High,Balanced,Low,Mixed,Weekday,Tablet,Hatfield,Trendy,36,0.98
U0106,27-30,Postgraduate Taught,Part-time,Minimalist Achiever,Study|Wellness|Productivity|Career,Guide|Short Video,Calm|Motivated,Afternoon,Low,Balanced,High,Campus-Centered,Weekend,Laptop,St Albans,Familiar,37,0.88
U0107,24-26,Undergraduate,Full-time,Wellness Seeker,Lifestyle|Study|Wellness|Fitness,Guide|Podcast|Short Video,Calm|Relaxed,Morning,Medium,Flexible,Medium,Mixed,Weekday,Mobile,Hatfield,Familiar,41,0.81
U0108,18-20,Undergraduate,Full-time,Pop Culture Browser,Events|Entertainment|Food,Short Video|Video,Curious|Relaxed,Afternoon,Medium,Balanced,Low,Off-Campus,Weekday,Tablet,Hatfield,Trendy,27,0.83
U0109,21-23,Undergraduate,Full-time,Minimalist Achiever,Productivity|Finance|Wellness|Study,Guide|Article|Short Video,Calm|Motivated,Evening,Medium,Balanced,High,Mixed,Mixed,Laptop,Hatfield,Familiar,22,0.69
U0110,21-23,Undergraduate,Full-time,Budget Explorer,Deals|Food|Lifestyle,Article|Short Video,Energetic|Curious,Afternoon,High,Balanced,High,Off-Campus,Weekend,Laptop,Watford,Trendy,25,0.73
