content_id,title,category,format,mood,content_similarity_score,normalized_popularity_score,profile_match_score,final_score,recommendation_reason,user_id
C0611,How to Build Better Lecture Notes Without Overwriting Everything for Busy Weeks,Study,Guide,Focused,0.4981119766618636,0.8916083959782288,1.0,0.6968636861585822,matches favorite category; matches preferred format; fits preferred mood,U0408
C0746,How to Build Better Lecture Notes Without Overwriting Everything for Group Sessions,Study,Guide,Focused,0.5885200938576655,0.5534825760199384,1.0,0.6620566956267007,matches favorite category; matches preferred format; fits preferred mood,U0408
C0457,How to Build Better Lecture Notes Without Overwriting Everything for Group Sessions,Study,Short Video,Calm,0.5366013015193337,0.8934289750891741,0.7,0.658487959607927,matches favorite category; fits preferred mood,U0408
C0110,How to Build Better Lecture Notes Without Overwriting Everything for Mid-Semester Pressure,Study,Guide,Calm,0.42821261571125235,0.8196464390829161,1.0,0.6404285484119179,matches favorite category; matches preferred format; fits preferred mood,U0408
C0566,A Practical Guide to Last-Minute Exam Preparation on a Tight Timetable,Study,Guide,Focused,0.4833378004599727,0.6047372663704703,1.0,0.6170201068456027,matches favorite category; matches preferred format; fits preferred mood,U0408
C0683,Flashcard Systems Students Actually Keep Using on a Tight Timetable,Study,Checklist,Focused,0.5394919046192206,0.69261359422083,1.0,0.6698739460957789,matches favorite category; matches preferred format; fits preferred mood,U0445
C0037,Flashcard Systems Students Actually Keep Using for Group Sessions,Study,Podcast,Calm,0.5155121393441874,0.7413851361391968,1.0,0.6688779606741022,matches favorite category; matches preferred format; fits preferred mood,U0445
C0182,Mindfulness Practices That Don’t Feel Performative Without a Huge Routine,Wellness,Guide,Relaxed,0.6052617596790587,0.6773736545965329,0.8,0.6622373814726156,matches favorite category; matches preferred format,U0445
C0349,Time-Blocking Without Burning Out When Motivation Drops,Productivity,Podcast,Calm,0.6772273895061108,0.6617336322077337,0.5,0.6379084722802943,matches preferred format; fits preferred mood,U0445
C0167,Flashcard Systems Students Actually Keep Using on a Tight Timetable,Study,Guide,Focused,0.4109924890356399,0.7826824245248405,1.0,0.6217164751008122,matches favorite category; matches preferred format; fits preferred mood,U0445
C0599,Room Setup Changes That Make Studying Easier That Actually Last,Lifestyle,Guide,Motivated,0.7885961688201146,0.6567309675121383,0.8,0.7579106347290977,matches favorite category; matches preferred format,U0118
C0501,Budget-Friendly Food Spots Worth Trying This Week This Week,Food,Short Video,Relaxed,0.7852720317685011,0.613129254937927,0.8,0.7451819312071574,matches favorite category; matches preferred format,U0118
C0143,Room Setup Changes That Make Studying Easier That Feel Worth It,Lifestyle,Short Video,Curious,0.6832648749245798,0.6697544134641724,1.0,0.7432342845745621,matches favorite category; matches preferred format; fits preferred mood,U0118
C0264,Room Setup Changes That Make Studying Easier That Feel Worth It,Lifestyle,Short Video,Motivated,0.5925612307433762,0.9255845105347383,0.8,0.7173048045425415,matches favorite category; matches preferred format,U0118
C0782,Room Setup Changes That Make Studying Easier Without Overdoing It,Lifestyle,Carousel,Relaxed,0.6161245993294528,0.8167198266742725,0.8,0.7030484862997672,matches favorite category; matches preferred format,U0118
C0636,Lifestyle Upgrades That Feel Small but Useful Without Overdoing It,Lifestyle,Guide,Relaxed,0.6072805613943393,0.9087462272463116,0.8,0.7211908655784646,matches favorite category; matches preferred format,U0031
C0292,Interesting Workshops and Meetups to Check Out This Month,Events,Carousel,Excited,0.5397097514558936,0.9946390765060931,0.8,0.7055001324272648,matches favorite category; matches preferred format,U0031
C0339,Lifestyle Upgrades That Feel Small but Useful That Feel Worth It,Lifestyle,Carousel,Curious,0.6515871697324036,0.622215794815761,0.8,0.6739268920567623,matches favorite category; matches preferred format,U0031
C0141,Lifestyle Upgrades That Feel Small but Useful That Feel Worth It,Lifestyle,Carousel,Motivated,0.5389091838017201,0.6769538646120391,1.0,0.6656385172439558,matches favorite category; matches preferred format; fits preferred mood,U0031
C0633,Lifestyle Upgrades That Feel Small but Useful Without Overdoing It,Lifestyle,Carousel,Motivated,0.4958270606530729,0.734632701481393,1.0,0.6563630587295384,matches favorite category; matches preferred format; fits preferred mood,U0031
C0283,Discount Bundles Worth Checking Before the Weekend That Actually Feel Useful,Deals,Short Video,Curious,0.7483197285550655,0.5005289219900322,1.0,0.736708081202794,matches favorite category; matches preferred format; fits preferred mood,U0416
C0862,Discount Bundles Worth Checking Before the Weekend That Actually Feel Useful,Deals,Short Video,Relaxed,0.7264511198442822,0.5248125700293744,0.8,0.6907512584216989,matches favorite category; matches preferred format,U0416
C0491,Low-Cost Weekend Plans for Students Without Big Spending,Events,Carousel,Social,0.5707522483208599,0.8098821861264918,0.8,0.676384283108096,matches favorite category; matches preferred format,U0416
C0671,Low-Cost Weekend Plans for Students You’ll Actually Want to Attend,Events,Short Video,Curious,0.5965557815011171,0.5489844965599985,1.0,0.6653518039656141,matches favorite category; matches preferred format; fits preferred mood,U0416
C0311,Low-Cost Weekend Plans for Students You’ll Actually Want to Attend,Events,Guide,Curious,0.46640489653233597,0.8113326756822623,1.0,0.6593558620133504,matches favorite category; matches preferred format; fits preferred mood,U0416
C0720,A Simple Weekly Reset Routine for Students Without Overplanning,Productivity,Guide,Focused,0.4274502019241553,0.6544480479579743,1.0,0.5987096230477791,matches favorite category; matches preferred format; fits preferred mood,U0158
C0662,A Simple Weekly Reset Routine for Students When Motivation Drops,Productivity,Article,Focused,0.3550135100301918,0.7112179667435277,1.0,0.5730619222024875,matches favorite category; matches preferred format; fits preferred mood,U0158
C0676,A Simple Weekly Reset Routine for Students for Students,Productivity,Short Video,Motivated,0.47716433772134725,0.6436434958663741,0.7,0.5633512597133346,matches favorite category; fits preferred mood,U0158
C0461,Five Focus Rituals for Low-Energy Days When Motivation Drops,Productivity,Short Video,Calm,0.6278927259670952,0.43804060514031834,0.5,0.554851150566982,matches favorite category,U0158
C0121,Five Focus Rituals for Low-Energy Days Without Overplanning,Productivity,Article,Focused,0.33078600032993977,0.6847330349945501,1.0,0.5531155589301044,matches favorite category; matches preferred format; fits preferred mood,U0158
C0577,Local Events That Feel Social Without Being Too Much You’ll Actually Want to Attend,Events,Carousel,Curious,0.7645162834377215,0.6019818907822957,0.2,0.6109794285863208,fits preferred mood,U0326
C0318,The Best Group Study Strategies for Busy Weeks for Mid-Semester Pressure,Study,Podcast,Calm,0.7482036147382954,0.625383388391289,0.0,0.5678578352038848,similar to previously engaged content,U0326
C0311,Low-Cost Weekend Plans for Students You’ll Actually Want to Attend,Events,Guide,Curious,0.47822518536050684,0.8113326756822623,0.5,0.5658570208688444,matches preferred format; fits preferred mood,U0326
C0288,Comfort Films for a Slow Evening This Weekend,Entertainment,Article,Curious,0.5513933237278459,0.4848921133044635,0.7,0.5644893563764312,matches favorite category; fits preferred mood,U0326
C0314,Local Events That Feel Social Without Being Too Much You’ll Actually Want to Attend,Events,Article,Excited,0.641490183386776,0.8318446826967157,0.0,0.5607807715369058,similar to previously engaged content,U0326
C0216,Budget-Friendly Food Spots Worth Trying This Week for Rainy Evenings,Food,Article,Curious,0.6886143731475878,0.9571584299281924,1.0,0.8180275127132215,matches favorite category; matches preferred format; fits preferred mood,U0448
C0853,Budget-Friendly Food Spots Worth Trying This Week for Rainy Evenings,Food,Guide,Relaxed,0.7148438754665843,0.6504184752877176,1.0,0.7557687503285508,matches favorite category; matches preferred format; fits preferred mood,U0448
C0260,Budget-Friendly Food Spots Worth Trying This Week on a Budget,Food,Article,Curious,0.550141303234354,0.8446082050854089,1.0,0.713729768050247,matches favorite category; matches preferred format; fits preferred mood,U0448
C0719,Budget-Friendly Food Spots Worth Trying This Week This Week,Food,Guide,Curious,0.5819575557145451,0.7619195943812107,1.0,0.7105565542383026,matches favorite category; matches preferred format; fits preferred mood,U0448
C0421,Budget-Friendly Food Spots Worth Trying This Week for Shared Kitchens,Food,Carousel,Relaxed,0.609849230793854,0.6888396639399432,1.0,0.7076269929216055,matches favorite category; matches preferred format; fits preferred mood,U0448
C0103,Sleep Routines That Feel Realistic for Students Without a Huge Routine,Wellness,Guide,Motivated,0.5827000137492856,0.7968430721931651,0.8,0.6796957756103984,matches favorite category; matches preferred format,U0269
C0559,A Realistic LinkedIn Routine for Students for Student Professionals,Career,Checklist,Focused,0.5971295429008138,0.6019711558858903,1.0,0.6789140375669203,matches favorite category; matches preferred format; fits preferred mood,U0269
C0174,A Smarter Student Money Routine for the Month for Tight Budgets,Finance,Article,Calm,0.6160923440136492,0.5078286457131368,1.0,0.6658079506357912,matches favorite category; matches preferred format; fits preferred mood,U0269
C0873,A Realistic LinkedIn Routine for Students for Student Professionals,Career,Article,Focused,0.600427498314909,0.4828798693280321,1.0,0.650955091405208,matches favorite category; matches preferred format; fits preferred mood,U0269
C0490,A Realistic LinkedIn Routine for Students for Student Professionals,Career,Guide,Focused,0.5482664416188193,0.46117541195658285,1.0,0.6168403958794964,matches favorite category; matches preferred format; fits preferred mood,U0269
C0474,A Practical Guide to Last-Minute Exam Preparation for Mid-Semester Pressure,Study,Article,Motivated,0.5245546576694737,0.8538702360197215,1.0,0.7019726207231409,matches favorite category; matches preferred format; fits preferred mood,U0298
C0057,A Practical Guide to Last-Minute Exam Preparation Before Exam Season,Study,Article,Motivated,0.5940078510887431,0.6917223525963192,1.0,0.6996349062478886,matches favorite category; matches preferred format; fits preferred mood,U0298
C0568,A Practical Guide to Last-Minute Exam Preparation Before Exam Season,Study,Short Video,Motivated,0.6221483815656539,0.7666822344971713,0.7,0.6738521684854025,matches favorite category; fits preferred mood,U0298
C0602,A Practical Guide to Last-Minute Exam Preparation Before Exam Season,Study,Article,Motivated,0.621093163017295,0.5120782384508598,1.0,0.6696207992722272,matches favorite category; matches preferred format; fits preferred mood,U0298
C0587,Student Routine Ideas That Don’t Collapse After Two Days for Student Life,Lifestyle,Article,Motivated,0.5477005472007663,0.6728168450502829,1.0,0.6694395122229923,matches favorite category; matches preferred format; fits preferred mood,U0298
